Graph,Category,speedup over PKC,speedup over ParK,speedup over GBBS,Ours, maxCore
LJ,Social,2.552667242,3.139090797,3.109523223,1,372
OK,Social,1.541145737,2.6256557,2.340258342,1,253
WB,Social,2.330815411,2.822638847,1.240250402,1,193
TW,Social,27.82060859,315.3738302,1.762707873,1,2488
FS,Social,9.0046955,113.1707954,1.68123922,1,304
EH,Web,10.34525723,7.135962103,1.74938048,1,9877
SD,Web,13.10171029,93.42089073,1.494734252,1,10507
CW,Web,N/A,NA,1.860842556,1,4244
HL14,Web,N/A,NA,1.315224639,1,4160
HL12,Web,N/A,NA,1.40196829,1,10565
AF,Road,1.627470152,2.335065871,1.807585426,1,3
NA,Road,0.964431668,1.6744569,1.577319898,1,3
AS,Road,1.366103149,1.828412447,1.476474288,1,4
EU,Road,0.896524312,1.279276892,1.361715909,1,4
CH5,k-NN,0.994678941,1.752529563,1.989357883,1,5
GL2,k-NN,1.040678559,1.42747944,1.537993977,1,2
GL5,k-NN,1.998234492,1.436481823,1.572907471,1,5
GL10,k-NN,1.039648995,1.082967703,1.714183164,1,10
COS5,k-NN,1.007996123,1.327841047,1.773685486,1,6
TRCE,Others,1.021061294,6.461641623,29.86985278,1,2
BBL,Others,1.047337049,2.624807665,23.27415664,1,2
GRID,Others,11.39105749,28.4953868,52.51951739,1,2
CUBE,Others,2.692313445,27.42171102,2.358267147,1,3
HCNS,Others,N/A,24.70657831,7.953828028,1,50000
HPL,Others,33.4224977,17.19194467,2.03023294,1,5000