Graph,Category,speedup GBBS,speedup ParK,speedup PKC,speedup Ours,Seq, maxCore,,,
LJ,Social,2.36133122,2.339089482,2.876447876,7.487437186,1,372,,,
FB,Social,13.37730871,11.44469526,12.90076336,12.96675192,1,16,,,
OK,Social,2.967479675,2.644927536,4.50617284,7.019230769,1,253,,,
WB,Social,12.32758621,5.416666667,6.559633028,16.28701595,1,193,,,
TW,Social,12.77661795,0.071411902,0.80952381,23.62934363,1,2488,,,
FS,Social,24.43365696,0.362980769,4.561933535,35.1981352,1,304,,,
WK,Web,6.139380531,3.343373494,8.020231214,14.30412371,1,188,,,
EH,Web,3.949640288,0.968253968,0.667883212,6.984732824,1,9877,,,
SD,Web,17.68292683,0.282926829,2.017391304,27.95180723,1,10507,,,
CW,Web,55.82706767,NA,NA,84.85714286,1,4244,,,
HL14,Web,48.75,NA,NA,55.98086124,1,4160,,,
HL12,Web,65.82894737,NA,NA,81.3495935,1,10565,,,
AF,Road,19.71530249,15.26170799,21.8972332,32.97619048,1,3,,,
NA,Road,18.18181818,17.12707182,29.73621103,28.63741339,1,3,,,
AS,Road,22.56699577,18.22323462,24.3902439,32.45436105,1,4,,,
EU,Road,35.89189189,38.20483314,54.51559934,48.18577649,1,4,,,
CH5,k-NN,10.38554217,11.64864865,20.52380952,20.62200957,1,5,,,
GL2,k-NN,39.11655295,42.12903226,57.78761062,66.0109378,1,2,,,
GL5,k-NN,18.06122449,19.77653631,14.21686747,29.25619835,1,5,,,
GL10,k-NN,20.10830325,31.82857143,33.1547619,19.96415771,1,10,,,
COS5,k-NN,16.91256831,22.59124088,29.75961538,30.19512195,1,6,,,
TRCE,Others,0.760204082,3.514150943,22.23880597,23.02936631,1,2,,,
BBL,Others,1.55,13.74384236,34.44444444,35.49618321,1,2,,,
GRID,Others,0.425675676,0.784557908,1.962616822,23.42007435,1,2,,,
CUBE,Others,17.12473573,1.472727273,15,39.51219512,1,3,,,
HCNS,Others,5.481927711,1.076923077,NA,22.58064516,1,100000,,,
HPL,Others,10.8356546,1.279605263,0.65820643,25.59210526,1,5000,,,